Run, Query, Loss, Time
1, 0, 59.924, 0.001
1, 1, 51.092, 0.061
1, 2, 8.831, 32.669
1, 3, 8.831, 0.057
1, 4, 8.831, 0.058
1, 5, 8.831, 80.272
1, 6, 0.000, 99.657
1, 7, 0.000, 0.057
1, 8, 0.000, 0.058
1, 9, 0.000, 0.056
1, 10, 0.000, 0.059
1, 11, 0.000, 260.366
1, 12, 0.000, 0.057
1, 13, 0.000, 0.055
1, 14, 0.000, 0.058
1, 15, 0.000, 0.057
1, 16, 0.000, 0.057
1, 17, 0.000, 76.733
1, 18, 0.000, 0.058
1, 19, 0.000, 0.056
1, 20, 0.000, 0.058
1, 21, 0.000, 0.056
1, 22, 0.000, 0.059
1, 23, 0.000, 0.056
1, 24, 0.000, 0.058
1, 25, 0.000, 0.055
1, 26, 0.000, 0.058
1, 27, 0.000, 0.056
1, 28, 0.000, 0.057
1, 29, 0.000, 0.055
1, 30, 0.000, 0.057
1, 31, 0.000, 0.057
1, 32, 0.000, 0.058
1, 33, 0.000, 0.056
1, 34, 0.000, 0.058
1, 35, 0.000, 0.056
1, 36, 0.000, 0.057
1, 37, 0.000, 0.055
1, 38, 0.000, 0.058
1, 39, 0.000, 0.057
1, 40, 0.000, 0.057
1, 41, 0.000, 0.056
1, 42, 0.000, 0.058
1, 43, 0.000, 64.866
1, 44, 0.000, 0.059
1, 45, 0.000, 0.056
1, 46, 0.000, 0.058
1, 47, 0.000, 0.055
1, 48, 0.000, 0.058
1, 49, 0.000, 0.056
1, 50, 0.000, 0.058
1, 51, 0.000, 0.056
1, 52, 0.000, 0.058
1, 53, 0.000, 0.056
1, 54, 0.000, 0.057
1, 55, 0.000, 0.055
1, 56, 0.000, 0.058
1, 57, 0.000, 0.056
1, 58, 0.000, 0.058
1, 59, 0.000, 0.055
1, 60, 0.000, 0.057
1, 61, 0.000, 0.055
1, 62, 0.000, 0.057
1, 63, 0.000, 0.057
1, 64, 0.000, 0.058
1, 65, 0.000, 0.057
1, 66, 0.000, 0.058
1, 67, 0.000, 0.055
1, 68, 0.000, 2156.493
1, 69, 0.000, 0.057
1, 70, 0.000, 0.058
1, 71, 0.000, 0.056
1, 72, 0.000, 0.058
1, 73, 0.000, 0.056
1, 74, 0.000, 0.058
1, 75, 0.000, 0.057
1, 76, 0.000, 426.442
1, 77, 0.000, 0.055
1, 78, 0.000, 0.058
1, 79, 0.000, 0.057
1, 80, 0.000, 0.058
1, 81, 0.000, 0.056
1, 82, 0.000, 0.058
1, 83, 0.000, 0.056
1, 84, 0.000, 0.057
1, 85, 0.000, 0.056
1, 86, 0.000, 0.057
1, 87, 0.000, 0.057
1, 88, 0.000, 0.057
1, 89, 0.000, 0.056
1, 90, 0.000, 0.057
1, 91, 0.000, 0.055
1, 92, 0.000, 0.057
1, 93, 0.000, 0.056
1, 94, 0.000, 0.058
1, 95, 0.000, 0.056
1, 96, 0.000, 0.057
1, 97, 0.000, 0.056
1, 98, 0.000, 0.057
1, 99, 0.000, 0.056
1, 100, 0.000, 0.056
2, 0, 74.375, 0.001
2, 1, 0.000, 0.058
2, 2, 0.000, 0.059
2, 3, 0.000, 16.631
2, 4, 0.000, 0.059
2, 5, 0.000, 0.057
2, 6, 0.000, 0.059
2, 7, 0.000, 31.919
2, 8, 0.000, 0.059
2, 9, 0.000, 0.057
2, 10, 0.000, 0.058
2, 11, 0.000, 0.057
2, 12, 0.000, 0.058
2, 13, 0.000, 0.056
2, 14, 0.000, 290.355
2, 15, 0.000, 0.053
2, 16, 0.000, 0.058
2, 17, 0.000, 0.057
2, 18, 0.000, 0.058
2, 19, 0.000, 0.056
2, 20, 0.000, 0.057
2, 21, 0.000, 60.802
