Run, Query, Loss, Time
1, 0, 59.924, 0.002
1, 1, 51.092, 0.028
1, 2, 51.092, 0.027
1, 3, 51.092, 27.548
1, 4, 0.000, 0.032
1, 5, 0.000, 0.034
1, 6, 0.000, 0.026
1, 7, 0.000, 11.696
1, 8, 0.000, 70.126
1, 9, 0.000, 0.029
1, 10, 0.000, 0.026
1, 11, 0.000, 141.052
1, 12, 0.000, 0.026
1, 13, 0.000, 0.027
1, 14, 0.000, 0.027
1, 15, 0.000, 0.027
1, 16, 0.000, 0.026
1, 17, 0.000, 0.027
1, 18, 0.000, 0.032
1, 19, 0.000, 0.026
1, 20, 0.000, 0.028
1, 21, 0.000, 0.026
1, 22, 0.000, 49.116
1, 23, 0.000, 0.026
1, 24, 0.000, 0.027
1, 25, 0.000, 0.027
1, 26, 0.000, 0.027
1, 27, 0.000, 0.026
1, 28, 0.000, 0.026
1, 29, 0.000, 0.027
1, 30, 0.000, 0.027
1, 31, 0.000, 0.027
1, 32, 0.000, 0.027
1, 33, 0.000, 0.027
1, 34, 0.000, 0.026
1, 35, 0.000, 0.027
1, 36, 0.000, 0.027
1, 37, 0.000, 0.027
1, 38, 0.000, 0.027
1, 39, 0.000, 0.027
1, 40, 0.000, 0.027
1, 41, 0.000, 0.027
1, 42, 0.000, 0.027
1, 43, 0.000, 0.026
1, 44, 0.000, 0.026
1, 45, 0.000, 0.026
1, 46, 0.000, 0.026
1, 47, 0.000, 0.027
1, 48, 0.000, 0.026
1, 49, 0.000, 0.026
1, 50, 0.000, 0.026
1, 51, 0.000, 0.026
1, 52, 0.000, 0.028
1, 53, 0.000, 0.027
1, 54, 0.000, 0.027
1, 55, 0.000, 0.027
1, 56, 0.000, 0.027
1, 57, 0.000, 31.487
1, 58, 0.000, 0.029
1, 59, 0.000, 1042.230
1, 60, 0.000, 0.027
1, 61, 0.000, 0.027
1, 62, 0.000, 0.027
1, 63, 0.000, 0.027
1, 64, 0.000, 0.027
1, 65, 0.000, 0.027
1, 66, 0.000, 0.026
1, 67, 0.000, 0.027
1, 68, 0.000, 0.027
1, 69, 0.000, 0.027
1, 70, 0.000, 0.033
1, 71, 0.000, 0.027
1, 72, 0.000, 0.027
1, 73, 0.000, 0.027
1, 74, 0.000, 0.027
1, 75, 0.000, 0.028
1, 76, 0.000, 0.027
1, 77, 0.000, 0.027
1, 78, 0.000, 0.027
1, 79, 0.000, 0.027
1, 80, 0.000, 0.027
1, 81, 0.000, 0.027
1, 82, 0.000, 0.027
1, 83, 0.000, 0.028
1, 84, 0.000, 0.028
1, 85, 0.000, 0.027
1, 86, 0.000, 0.026
1, 87, 0.000, 0.027
1, 88, 0.000, 0.027
1, 89, 0.000, 0.027
1, 90, 0.000, 0.027
1, 91, 0.000, 0.027
1, 92, 0.000, 0.027
1, 93, 0.000, 0.028
1, 94, 0.000, 0.027
1, 95, 0.000, 0.027
1, 96, 0.000, 0.027
1, 97, 0.000, 0.027
1, 98, 0.000, 0.027
1, 99, 0.000, 868.634
1, 100, 0.000, 0.027
2, 0, 74.375, 0.001
2, 1, 74.375, 0.036
2, 2, 74.375, 0.027
2, 3, 74.375, 14.361
2, 4, 74.375, 0.025
2, 5, 0.000, 44.455
2, 6, 0.000, 0.033
2, 7, 0.000, 0.027
2, 8, 0.000, 0.026
2, 9, 0.000, 0.027
2, 10, 0.000, 125.976
2, 11, 0.000, 0.029
2, 12, 0.000, 0.027
2, 13, 0.000, 0.026
2, 14, 0.000, 0.026
2, 15, 0.000, 180.176
2, 16, 0.000, 0.029
2, 17, 0.000, 242.018
2, 18, 0.000, 0.027
2, 19, 0.000, 0.027
2, 20, 0.000, 0.027
2, 21, 0.000, 0.027
2, 22, 0.000, 0.027
2, 23, 0.000, 0.027
2, 24, 0.000, 0.027
2, 25, 0.000, 55.519
2, 26, 0.000, 0.028
2, 27, 0.000, 0.026
2, 28, 0.000, 0.027
2, 29, 0.000, 0.027
2, 30, 0.000, 0.027
2, 31, 0.000, 0.027
2, 32, 0.000, 0.027
2, 33, 0.000, 0.027
2, 34, 0.000, 0.027
2, 35, 0.000, 0.026
2, 36, 0.000, 0.026
2, 37, 0.000, 0.027
2, 38, 0.000, 0.027
2, 39, 0.000, 41.917
2, 40, 0.000, 0.027
2, 41, 0.000, 0.027
2, 42, 0.000, 0.027
2, 43, 0.000, 0.027
2, 44, 0.000, 0.027
2, 45, 0.000, 0.027
2, 46, 0.000, 0.027
2, 47, 0.000, 0.027
2, 48, 0.000, 0.027
2, 49, 0.000, 0.030
2, 50, 0.000, 0.028
2, 51, 0.000, 0.027
2, 52, 0.000, 0.026
2, 53, 0.000, 0.028
2, 54, 0.000, 0.027
2, 55, 0.000, 0.028
2, 56, 0.000, 0.029
2, 57, 0.000, 0.028
2, 58, 0.000, 0.028
2, 59, 0.000, 0.028
2, 60, 0.000, 0.028
2, 61, 0.000, 0.027
2, 62, 0.000, 0.027
2, 63, 0.000, 0.027
2, 64, 0.000, 0.027
2, 65, 0.000, 0.027
2, 66, 0.000, 40.872
2, 67, 0.000, 0.027
2, 68, 0.000, 0.027
2, 69, 0.000, 0.027
2, 70, 0.000, 0.027
2, 71, 0.000, 0.027
2, 72, 0.000, 0.027
2, 73, 0.000, 0.027
2, 74, 0.000, 0.027
2, 75, 0.000, 0.027
