Run, Query, Loss, Time
1, 0, 43.642, 0.002
1, 1, 43.642, 0.682
1, 2, 0.000, 36.515
1, 3, 0.000, 0.676
1, 4, 0.000, 0.675
1, 5, 0.000, 0.678
1, 6, 0.000, 51.972
1, 7, 0.000, 0.675
1, 8, 0.000, 0.676
1, 9, 0.000, 0.674
1, 10, 0.000, 38.481
1, 11, 0.000, 0.675
1, 12, 0.000, 227.763
1, 13, 0.000, 0.676
1, 14, 0.000, 0.676
1, 15, 0.000, 0.676
1, 16, 0.000, 0.672
1, 17, 0.000, 322.999
1, 18, 0.000, 0.676
1, 19, 0.000, 0.674
1, 20, 0.000, 0.674
1, 21, 0.000, 0.671
1, 22, 0.000, 0.675
1, 23, 0.000, 0.676
1, 24, 0.000, 54.628
1, 25, 0.000, 0.672
1, 26, 0.000, 0.675
1, 27, 0.000, 0.674
1, 28, 0.000, 0.675
1, 29, 0.000, 0.676
1, 30, 0.000, 0.677
1, 31, 0.000, 0.673
1, 32, 0.000, 0.674
1, 33, 0.000, 0.676
1, 34, 0.000, 0.672
1, 35, 0.000, 0.674
1, 36, 0.000, 0.674
1, 37, 0.000, 0.672
1, 38, 0.000, 0.674
1, 39, 0.000, 0.678
1, 40, 0.000, 0.676
1, 41, 0.000, 0.673
1, 42, 0.000, 1203.930
1, 43, 0.000, 0.673
1, 44, 0.000, 0.674
1, 45, 0.000, 0.673
1, 46, 0.000, 0.673
1, 47, 0.000, 0.675
1, 48, 0.000, 0.672
1, 49, 0.000, 0.672
1, 50, 0.000, 0.674
1, 51, 0.000, 0.673
1, 52, 0.000, 1718.957
1, 53, 0.000, 0.670
1, 54, 0.000, 0.673
1, 55, 0.000, 0.672
1, 56, 0.000, 0.676
1, 57, 0.000, 0.673
1, 58, 0.000, 0.676
1, 59, 0.000, 0.673
1, 60, 0.000, 0.676
1, 61, 0.000, 0.673
1, 62, 0.000, 0.675
1, 63, 0.000, 0.676
1, 64, 0.000, 0.674
1, 65, 0.000, 0.676
1, 66, 0.000, 0.675
1, 67, 0.000, 0.675
1, 68, 0.000, 0.670
1, 69, 0.000, 0.673
1, 70, 0.000, 0.676
1, 71, 0.000, 474.459
1, 72, 0.000, 0.673
1, 73, 0.000, 0.676
1, 74, 0.000, 0.673
1, 75, 0.000, 0.676
1, 76, 0.000, 0.675
1, 77, 0.000, 0.674
1, 78, 0.000, 0.678
1, 79, 0.000, 0.676
1, 80, 0.000, 0.676
1, 81, 0.000, 0.675
1, 82, 0.000, 0.675
1, 83, 0.000, 0.676
1, 84, 0.000, 0.676
1, 85, 0.000, 0.676
1, 86, 0.000, 0.675
1, 87, 0.000, 0.673
1, 88, 0.000, 0.674
1, 89, 0.000, 0.677
1, 90, 0.000, 0.676
1, 91, 0.000, 0.676
1, 92, 0.000, 0.675
1, 93, 0.000, 0.673
1, 94, 0.000, 0.678
1, 95, 0.000, 0.678
1, 96, 0.000, 0.676
1, 97, 0.000, 0.673
1, 98, 0.000, 0.676
1, 99, 0.000, 0.679
1, 100, 0.000, 0.676
2, 0, 93.035, 0.002
2, 1, 47.019, 0.680
2, 2, 47.019, 0.679
2, 3, 47.019, 23.167
2, 4, 47.019, 0.678
2, 5, 47.019, 0.675
2, 6, 47.019, 0.675
2, 7, 47.019, 46.166
2, 8, 47.019, 0.676
2, 9, 23.285, 146.151
2, 10, 23.285, 0.675
2, 11, 23.285, 0.675
2, 12, 23.285, 0.675
2, 13, 23.285, 0.672
2, 14, 0.000, 268.297
2, 15, 0.000, 0.674
2, 16, 0.000, 0.675
2, 17, 0.000, 0.675
2, 18, 0.000, 0.679
2, 19, 0.000, 0.675
2, 20, 0.000, 0.675
2, 21, 0.000, 0.676
2, 22, 0.000, 0.673
2, 23, 0.000, 0.673
2, 24, 0.000, 0.675
2, 25, 0.000, 0.674
2, 26, 0.000, 0.678
2, 27, 0.000, 0.677
2, 28, 0.000, 0.675
2, 29, 0.000, 0.675
2, 30, 0.000, 0.674
2, 31, 0.000, 0.677
2, 32, 0.000, 0.675
2, 33, 0.000, 0.675
2, 34, 0.000, 0.673
2, 35, 0.000, 0.674
2, 36, 0.000, 0.675
2, 37, 0.000, 0.677
2, 38, 0.000, 0.677
2, 39, 0.000, 0.674
2, 40, 0.000, 0.675
2, 41, 0.000, 0.674
2, 42, 0.000, 0.676
2, 43, 0.000, 0.673
2, 44, 0.000, 0.674
2, 45, 0.000, 0.674
2, 46, 0.000, 0.676
2, 47, 0.000, 0.674
2, 48, 0.000, 0.673
2, 49, 0.000, 0.675
2, 50, 0.000, 0.674
2, 51, 0.000, 0.676
2, 52, 0.000, 0.675
2, 53, 0.000, 0.675
2, 54, 0.000, 0.672
2, 55, 0.000, 0.673
2, 56, 0.000, 0.675
2, 57, 0.000, 0.672
2, 58, 0.000, 0.671
2, 59, 0.000, 0.674
2, 60, 0.000, 0.671
2, 61, 0.000, 0.673
2, 62, 0.000, 0.673
2, 63, 0.000, 0.674
2, 64, 0.000, 0.675
2, 65, 0.000, 0.675
2, 66, 0.000, 0.675
2, 67, 0.000, 0.677
2, 68, 0.000, 0.674
2, 69, 0.000, 0.675
2, 70, 0.000, 0.674
2, 71, 0.000, 0.676
2, 72, 0.000, 0.674
2, 73, 0.000, 0.676
2, 74, 0.000, 0.674
2, 75, 0.000, 0.674
2, 76, 0.000, 0.672
2, 77, 0.000, 0.675
2, 78, 0.000, 0.675
2, 79, 0.000, 0.675
2, 80, 0.000, 0.673
2, 81, 0.000, 0.675
2, 82, 0.000, 0.674
2, 83, 0.000, 0.675
2, 84, 0.000, 0.674
2, 85, 0.000, 0.677
2, 86, 0.000, 0.676
2, 87, 0.000, 0.675
2, 88, 0.000, 0.675
2, 89, 0.000, 0.677
2, 90, 0.000, 0.675
2, 91, 0.000, 0.675
2, 92, 0.000, 0.675
2, 93, 0.000, 0.676
2, 94, 0.000, 0.679
2, 95, 0.000, 0.677
2, 96, 0.000, 0.674
2, 97, 0.000, 0.678
2, 98, 0.000, 0.675
2, 99, 0.000, 0.676
2, 100, 0.000, 0.675
3, 0, 81.777, 0.002
3, 1, 21.547, 0.680
3, 2, 21.547, 0.675
3, 3, 21.547, 22.956
3, 4, 21.547, 0.675
3, 5, 21.547, 0.675
3, 6, 21.547, 0.673
3, 7, 0.000, 95.519
3, 8, 0.000, 0.676
3, 9, 0.000, 151.601
3, 10, 0.000, 0.675
3, 11, 0.000, 0.674
3, 12, 0.000, 0.674
3, 13, 0.000, 265.687
3, 14, 0.000, 0.677
3, 15, 0.000, 0.676
3, 16, 0.000, 0.676
3, 17, 0.000, 423.939
3, 18, 0.000, 0.674
3, 19, 0.000, 0.675
3, 20, 0.000, 0.673
3, 21, 0.000, 0.671
3, 22, 0.000, 100.643
3, 23, 0.000, 0.676
3, 24, 0.000, 0.674
3, 25, 0.000, 0.675
3, 26, 0.000, 0.676
3, 27, 0.000, 0.678
3, 28, 0.000, 0.675
3, 29, 0.000, 0.674
3, 30, 0.000, 0.674
3, 31, 0.000, 0.674
3, 32, 0.000, 281.455
3, 33, 0.000, 0.675
3, 34, 0.000, 0.672
3, 35, 0.000, 0.674
3, 36, 0.000, 0.674
3, 37, 0.000, 0.675
3, 38, 0.000, 0.673
3, 39, 0.000, 0.675
3, 40, 0.000, 0.672
3, 41, 0.000, 0.675
3, 42, 0.000, 0.673
3, 43, 0.000, 0.674
3, 44, 0.000, 0.675
3, 45, 0.000, 0.672
3, 46, 0.000, 0.674
3, 47, 0.000, 0.672
3, 48, 0.000, 0.676
3, 49, 0.000, 0.673
3, 50, 0.000, 0.674
3, 51, 0.000, 0.674
3, 52, 0.000, 0.675
3, 53, 0.000, 0.674
3, 54, 0.000, 0.673
3, 55, 0.000, 0.674
3, 56, 0.000, 0.671
3, 57, 0.000, 0.673
3, 58, 0.000, 132.896
3, 59, 0.000, 0.674
3, 60, 0.000, 0.674
3, 61, 0.000, 0.673
3, 62, 0.000, 0.675
3, 63, 0.000, 0.675
3, 64, 0.000, 0.675
3, 65, 0.000, 0.674
3, 66, 0.000, 0.677
3, 67, 0.000, 0.675
3, 68, 0.000, 0.674
3, 69, 0.000, 0.675
3, 70, 0.000, 0.671
3, 71, 0.000, 0.675
3, 72, 0.000, 0.675
3, 73, 0.000, 0.672
3, 74, 0.000, 0.675
3, 75, 0.000, 0.673
3, 76, 0.000, 0.674
3, 77, 0.000, 0.674
3, 78, 0.000, 0.676
3, 79, 0.000, 0.678
3, 80, 0.000, 0.675
3, 81, 0.000, 0.676
3, 82, 0.000, 0.677
3, 83, 0.000, 0.677
3, 84, 0.000, 0.677
3, 85, 0.000, 0.678
3, 86, 0.000, 0.675
3, 87, 0.000, 0.678
3, 88, 0.000, 0.676
3, 89, 0.000, 0.676
3, 90, 0.000, 0.676
3, 91, 0.000, 0.677
3, 92, 0.000, 0.676
3, 93, 0.000, 0.676
3, 94, 0.000, 0.672
3, 95, 0.000, 0.672
3, 96, 0.000, 0.676
3, 97, 0.000, 0.676
3, 98, 0.000, 0.676
3, 99, 0.000, 268.217
3, 100, 0.000, 0.678
4, 0, 8.691, 0.002
4, 1, 30.652, 0.683
