Run, Query, Loss, Time
1, 0, 28.785, 0.002
1, 1, 28.785, 0.038
1, 2, 28.785, 0.038
1, 3, 18.194, 20.209
1, 4, 0.000, 0.038
1, 5, 0.000, 0.036
1, 6, 0.000, 43.662
1, 7, 0.000, 0.036
1, 8, 0.000, 0.039
1, 9, 0.000, 0.036
1, 10, 0.000, 0.039
1, 11, 0.000, 106.174
1, 12, 0.000, 0.038
1, 13, 0.000, 0.036
1, 14, 0.000, 0.039
1, 15, 0.000, 159.587
1, 16, 0.000, 0.039
1, 17, 0.000, 0.048
1, 18, 0.000, 0.039
1, 19, 0.000, 0.036
1, 20, 0.000, 0.039
1, 21, 0.000, 0.036
1, 22, 0.000, 0.039
1, 23, 0.000, 0.036
1, 24, 0.000, 0.039
1, 25, 0.000, 0.036
1, 26, 0.000, 0.039
1, 27, 0.000, 0.037
1, 28, 0.000, 0.039
1, 29, 0.000, 405.979
1, 30, 0.000, 0.039
1, 31, 0.000, 0.035
1, 32, 0.000, 0.039
1, 33, 0.000, 0.036
1, 34, 0.000, 0.039
1, 35, 0.000, 0.036
1, 36, 0.000, 0.039
1, 37, 0.000, 0.036
1, 38, 0.000, 0.039
1, 39, 0.000, 0.036
1, 40, 0.000, 544.270
1, 41, 0.000, 0.035
1, 42, 0.000, 0.039
1, 43, 0.000, 0.036
1, 44, 0.000, 0.039
1, 45, 0.000, 0.037
1, 46, 0.000, 0.039
1, 47, 0.000, 0.036
1, 48, 0.000, 0.064
1, 49, 0.000, 145.656
1, 50, 0.000, 0.039
1, 51, 0.000, 0.036
1, 52, 0.000, 0.039
1, 53, 0.000, 0.049
1, 54, 0.000, 0.039
1, 55, 0.000, 0.036
1, 56, 0.000, 0.038
1, 57, 0.000, 0.036
1, 58, 0.000, 0.039
1, 59, 0.000, 0.037
1, 60, 0.000, 0.039
1, 61, 0.000, 0.037
1, 62, 0.000, 0.039
1, 63, 0.000, 0.037
1, 64, 0.000, 95.374
1, 65, 0.000, 0.035
1, 66, 0.000, 0.052
1, 67, 0.000, 0.037
1, 68, 0.000, 0.039
1, 69, 0.000, 0.037
1, 70, 0.000, 0.039
1, 71, 0.000, 0.036
1, 72, 0.000, 0.039
1, 73, 0.000, 0.036
1, 74, 0.000, 0.040
1, 75, 0.000, 0.036
1, 76, 0.000, 0.039
1, 77, 0.000, 0.038
1, 78, 0.000, 0.039
1, 79, 0.000, 0.036
1, 80, 0.000, 0.042
1, 81, 0.000, 0.037
1, 82, 0.000, 0.042
1, 83, 0.000, 0.037
1, 84, 0.000, 0.038
1, 85, 0.000, 0.036
1, 86, 0.000, 0.041
1, 87, 0.000, 0.037
1, 88, 0.000, 0.050
1, 89, 0.000, 0.037
1, 90, 0.000, 0.039
1, 91, 0.000, 0.038
1, 92, 0.000, 0.039
1, 93, 0.000, 0.041
1, 94, 0.000, 0.047
1, 95, 0.000, 0.039
1, 96, 0.000, 0.039
1, 97, 0.000, 0.037
1, 98, 0.000, 311.165
1, 99, 0.000, 0.035
1, 100, 0.000, 0.039
2, 0, 116.769, 0.002
2, 1, 57.104, 0.037
2, 2, 57.104, 0.052
2, 3, 57.104, 11.424
2, 4, 57.104, 0.039
2, 5, 33.370, 0.036
2, 6, 33.370, 16.370
2, 7, 33.370, 0.036
2, 8, 33.370, 29.930
2, 9, 33.370, 0.035
2, 10, 0.000, 0.039
2, 11, 0.000, 37.172
2, 12, 0.000, 0.039
2, 13, 0.000, 0.037
2, 14, 0.000, 0.039
2, 15, 0.000, 0.035
2, 16, 0.000, 0.039
2, 17, 0.000, 0.036
2, 18, 0.000, 0.039
2, 19, 0.000, 0.035
2, 20, 0.000, 0.039
2, 21, 0.000, 0.036
2, 22, 0.000, 0.039
2, 23, 0.000, 0.036
2, 24, 0.000, 0.039
2, 25, 0.000, 0.036
2, 26, 0.000, 0.039
2, 27, 0.000, 0.036
2, 28, 0.000, 0.039
2, 29, 0.000, 0.036
2, 30, 0.000, 0.039
2, 31, 0.000, 0.036
2, 32, 0.000, 0.039
2, 33, 0.000, 0.036
2, 34, 0.000, 0.039
2, 35, 0.000, 0.037
2, 36, 0.000, 0.039
2, 37, 0.000, 0.037
2, 38, 0.000, 0.039
2, 39, 0.000, 0.035
2, 40, 0.000, 0.039
2, 41, 0.000, 0.035
2, 42, 0.000, 0.039
2, 43, 0.000, 0.036
2, 44, 0.000, 0.052
2, 45, 0.000, 0.036
2, 46, 0.000, 0.041
