Run, Query, Loss, Time
1, 0, 230.168, 0.002
1, 1, 154.348, 0.677
1, 2, 64.731, 35.389
1, 3, 18.318, 0.672
1, 4, 18.318, 0.679
1, 5, 18.318, 32.652
1, 6, 18.318, 0.678
1, 7, 18.318, 0.672
1, 8, 18.318, 0.678
1, 9, 18.318, 59.484
1, 10, 0.000, 165.873
1, 11, 0.000, 0.679
1, 12, 0.000, 0.678
1, 13, 0.000, 0.672
1, 14, 0.000, 0.675
1, 15, 0.000, 0.670
1, 16, 0.000, 0.673
1, 17, 0.000, 0.672
1, 18, 0.000, 0.677
1, 19, 0.000, 0.672
1, 20, 0.000, 0.679
1, 21, 0.000, 0.671
1, 22, 0.000, 0.677
1, 23, 0.000, 0.672
1, 24, 0.000, 0.677
1, 25, 0.000, 0.670
1, 26, 0.000, 0.678
1, 27, 0.000, 0.671
1, 28, 0.000, 0.678
1, 29, 0.000, 0.669
1, 30, 0.000, 0.681
1, 31, 0.000, 0.677
1, 32, 0.000, 0.677
1, 33, 0.000, 0.671
1, 34, 0.000, 0.676
1, 35, 0.000, 0.678
1, 36, 0.000, 0.678
1, 37, 0.000, 0.665
1, 38, 0.000, 0.677
1, 39, 0.000, 0.671
1, 40, 0.000, 0.679
1, 41, 0.000, 0.672
1, 42, 0.000, 0.678
1, 43, 0.000, 0.670
1, 44, 0.000, 0.678
1, 45, 0.000, 0.667
1, 46, 0.000, 0.677
1, 47, 0.000, 0.673
1, 48, 0.000, 0.677
1, 49, 0.000, 0.672
1, 50, 0.000, 0.678
1, 51, 0.000, 0.674
1, 52, 0.000, 0.678
1, 53, 0.000, 0.665
1, 54, 0.000, 0.678
1, 55, 0.000, 0.671
1, 56, 0.000, 0.675
1, 57, 0.000, 0.673
1, 58, 0.000, 0.677
1, 59, 0.000, 0.672
1, 60, 0.000, 0.676
1, 61, 0.000, 0.673
1, 62, 0.000, 0.675
1, 63, 0.000, 0.666
1, 64, 0.000, 0.678
1, 65, 0.000, 0.673
1, 66, 0.000, 0.676
1, 67, 0.000, 0.675
1, 68, 0.000, 0.677
1, 69, 0.000, 0.674
1, 70, 0.000, 0.677
1, 71, 0.000, 0.670
1, 72, 0.000, 0.678
1, 73, 0.000, 0.673
1, 74, 0.000, 0.679
1, 75, 0.000, 0.674
1, 76, 0.000, 0.677
1, 77, 0.000, 0.668
1, 78, 0.000, 0.678
1, 79, 0.000, 0.673
1, 80, 0.000, 0.679
1, 81, 0.000, 0.672
1, 82, 0.000, 0.678
1, 83, 0.000, 0.669
1, 84, 0.000, 0.680
1, 85, 0.000, 0.670
1, 86, 0.000, 0.679
1, 87, 0.000, 0.674
1, 88, 0.000, 0.678
1, 89, 0.000, 0.672
1, 90, 0.000, 0.680
1, 91, 0.000, 0.671
1, 92, 0.000, 0.681
1, 93, 0.000, 0.679
1, 94, 0.000, 0.679
1, 95, 0.000, 0.673
1, 96, 0.000, 0.679
1, 97, 0.000, 0.673
1, 98, 0.000, 0.678
1, 99, 0.000, 0.670
1, 100, 0.000, 0.681
2, 0, 117.695, 0.002
2, 1, 55.578, 0.684
2, 2, 55.578, 0.684
2, 3, 55.578, 22.637
2, 4, 55.578, 0.681
2, 5, 55.578, 0.670
2, 6, 55.578, 0.678
2, 7, 0.000, 89.406
2, 8, 0.000, 0.679
2, 9, 0.000, 0.672
2, 10, 0.000, 0.678
2, 11, 0.000, 0.670
2, 12, 0.000, 0.678
2, 13, 0.000, 31.264
2, 14, 0.000, 0.679
2, 15, 0.000, 0.675
2, 16, 0.000, 0.675
2, 17, 0.000, 0.673
2, 18, 0.000, 0.675
2, 19, 0.000, 0.672
2, 20, 0.000, 0.677
2, 21, 0.000, 0.673
2, 22, 0.000, 0.679
2, 23, 0.000, 0.675
2, 24, 0.000, 0.679
2, 25, 0.000, 0.673
2, 26, 0.000, 0.680
2, 27, 0.000, 0.674
2, 28, 0.000, 0.677
2, 29, 0.000, 0.672
2, 30, 0.000, 0.678
2, 31, 0.000, 0.671
2, 32, 0.000, 0.678
2, 33, 0.000, 0.671
2, 34, 0.000, 0.676
2, 35, 0.000, 0.672
2, 36, 0.000, 0.676
2, 37, 0.000, 0.675
2, 38, 0.000, 0.679
2, 39, 0.000, 0.671
2, 40, 0.000, 0.675
2, 41, 0.000, 0.673
2, 42, 0.000, 0.677
2, 43, 0.000, 0.668
2, 44, 0.000, 0.676
2, 45, 0.000, 0.670
2, 46, 0.000, 0.681
2, 47, 0.000, 0.673
2, 48, 0.000, 0.677
2, 49, 0.000, 0.669
2, 50, 0.000, 0.678
2, 51, 0.000, 0.671
2, 52, 0.000, 0.676
2, 53, 0.000, 0.674
2, 54, 0.000, 0.676
2, 55, 0.000, 0.672
2, 56, 0.000, 0.677
2, 57, 0.000, 0.671
2, 58, 0.000, 0.677
2, 59, 0.000, 0.670
2, 60, 0.000, 0.677
2, 61, 0.000, 0.674
2, 62, 0.000, 0.677
2, 63, 0.000, 0.673
2, 64, 0.000, 0.676
2, 65, 0.000, 0.669
2, 66, 0.000, 0.681
2, 67, 0.000, 0.671
2, 68, 0.000, 0.678
2, 69, 0.000, 0.673
2, 70, 0.000, 0.678
2, 71, 0.000, 0.672
2, 72, 0.000, 0.680
2, 73, 0.000, 0.675
2, 74, 0.000, 0.675
2, 75, 0.000, 0.673
2, 76, 0.000, 0.678
2, 77, 0.000, 0.675
2, 78, 0.000, 0.677
2, 79, 0.000, 0.672
2, 80, 0.000, 0.679
2, 81, 0.000, 0.671
2, 82, 0.000, 0.677
2, 83, 0.000, 0.668
2, 84, 0.000, 0.678
2, 85, 0.000, 0.669
2, 86, 0.000, 0.675
2, 87, 0.000, 0.674
2, 88, 0.000, 0.678
2, 89, 0.000, 0.675
2, 90, 0.000, 0.683
2, 91, 0.000, 0.672
2, 92, 0.000, 0.679
2, 93, 0.000, 0.671
2, 94, 0.000, 0.679
2, 95, 0.000, 0.671
2, 96, 0.000, 0.680
2, 97, 0.000, 0.678
2, 98, 0.000, 0.678
2, 99, 0.000, 0.675
2, 100, 0.000, 0.676
3, 0, 0.000, 0.002
3, 1, 0.654, 0.688
3, 2, 0.654, 0.681
3, 3, 0.654, 22.755
3, 4, 0.654, 0.679
3, 5, 0.654, 0.671
3, 6, 0.000, 78.288
3, 7, 0.000, 0.673
3, 8, 0.000, 0.678
3, 9, 0.000, 0.670
3, 10, 0.000, 0.677
3, 11, 0.000, 52.797
3, 12, 0.000, 0.677
3, 13, 0.000, 0.673
3, 14, 0.000, 0.677
3, 15, 0.000, 0.673
3, 16, 0.000, 0.677
3, 17, 0.000, 0.669
3, 18, 0.000, 0.679
3, 19, 0.000, 0.673
3, 20, 0.000, 0.678
3, 21, 0.000, 0.672
3, 22, 0.000, 0.679
3, 23, 0.000, 0.667
