Run, Query, Loss, Time
1, 0, 128.212, 0.002
1, 1, 66.804, 0.065
1, 2, 66.804, 0.036
1, 3, 66.804, 13.610
1, 4, 66.804, 0.036
1, 5, 66.804, 0.036
1, 6, 66.804, 0.036
1, 7, 66.804, 0.036
1, 8, 66.804, 0.036
1, 9, 66.804, 31.490
1, 10, 44.797, 85.955
1, 11, 1.442, 105.429
1, 12, 14.619, 0.046
1, 13, 14.619, 0.036
1, 14, 14.619, 0.036
1, 15, 0.000, 126.879
1, 16, 0.000, 0.035
1, 17, 0.000, 0.036
1, 18, 0.000, 0.036
1, 19, 0.000, 0.036
1, 20, 0.000, 0.036
1, 21, 0.000, 0.036
1, 22, 0.000, 0.036
1, 23, 0.000, 0.037
1, 24, 0.000, 0.037
1, 25, 0.000, 0.037
1, 26, 0.000, 0.036
1, 27, 0.000, 0.036
1, 28, 0.000, 0.035
1, 29, 0.000, 0.036
1, 30, 0.000, 0.037
1, 31, 0.000, 0.038
1, 32, 0.000, 0.037
1, 33, 0.000, 0.038
1, 34, 0.000, 0.037
1, 35, 0.000, 0.036
1, 36, 0.000, 0.042
1, 37, 0.000, 0.038
1, 38, 0.000, 0.041
1, 39, 0.000, 0.040
1, 40, 0.000, 0.037
1, 41, 0.000, 0.037
1, 42, 0.000, 0.036
1, 43, 0.000, 0.044
1, 44, 0.000, 0.048
1, 45, 0.000, 0.069
1, 46, 0.000, 0.086
1, 47, 0.000, 0.070
1, 48, 0.000, 0.039
1, 49, 0.000, 0.065
1, 50, 0.000, 0.054
1, 51, 0.000, 0.064
1, 52, 0.000, 0.087
1, 53, 0.000, 0.075
1, 54, 0.000, 0.075
1, 55, 0.000, 0.087
1, 56, 0.000, 0.086
1, 57, 0.000, 0.086
1, 58, 0.000, 0.076
1, 59, 0.000, 0.046
1, 60, 0.000, 0.075
1, 61, 0.000, 0.087
1, 62, 0.000, 0.087
1, 63, 0.000, 0.087
1, 64, 0.000, 0.087
1, 65, 0.000, 0.087
1, 66, 0.000, 0.087
1, 67, 0.000, 0.087
1, 68, 0.000, 0.087
1, 69, 0.000, 0.086
1, 70, 0.000, 0.087
1, 71, 0.000, 0.087
1, 72, 0.000, 0.086
1, 73, 0.000, 0.087
1, 74, 0.000, 0.087
1, 75, 0.000, 0.087
1, 76, 0.000, 0.087
1, 77, 0.000, 0.087
1, 78, 0.000, 0.087
1, 79, 0.000, 0.086
1, 80, 0.000, 0.087
1, 81, 0.000, 0.087
1, 82, 0.000, 0.087
1, 83, 0.000, 0.087
1, 84, 0.000, 0.087
1, 85, 0.000, 0.087
1, 86, 0.000, 0.087
1, 87, 0.000, 0.087
1, 88, 0.000, 0.087
1, 89, 0.000, 0.087
1, 90, 0.000, 0.087
1, 91, 0.000, 0.087
1, 92, 0.000, 0.087
1, 93, 0.000, 0.087
1, 94, 0.000, 0.087
1, 95, 0.000, 0.087
1, 96, 0.000, 0.087
1, 97, 0.000, 0.087
1, 98, 0.000, 0.087
1, 99, 0.000, 0.087
1, 100, 0.000, 0.086
2, 0, 117.695, 0.002
2, 1, 5.107, 0.049
2, 2, 5.107, 0.036
2, 3, 5.107, 11.190
2, 4, 5.107, 0.048
2, 5, 5.107, 0.049
2, 6, 5.107, 0.048
2, 7, 4.938, 60.470
2, 8, 4.938, 0.035
2, 9, 0.000, 0.049
2, 10, 0.000, 0.036
2, 11, 0.000, 23.080
2, 12, 0.000, 0.036
2, 13, 0.000, 0.036
2, 14, 0.000, 0.036
2, 15, 0.000, 0.036
2, 16, 0.000, 0.036
2, 17, 0.000, 0.036
2, 18, 0.000, 0.035
2, 19, 0.000, 0.036
2, 20, 0.000, 0.036
2, 21, 0.000, 0.035
2, 22, 0.000, 0.036
2, 23, 0.000, 0.036
2, 24, 0.000, 0.035
2, 25, 0.000, 0.035
2, 26, 0.000, 0.035
2, 27, 0.000, 0.037
2, 28, 0.000, 0.036
2, 29, 0.000, 0.035
2, 30, 0.000, 0.035
2, 31, 0.000, 0.037
2, 32, 0.000, 0.039
2, 33, 0.000, 0.036
2, 34, 0.000, 0.036
2, 35, 0.000, 0.035
2, 36, 0.000, 0.040
2, 37, 0.000, 0.049
2, 38, 0.000, 0.042
2, 39, 0.000, 0.039
2, 40, 0.000, 0.037
2, 41, 0.000, 0.043
2, 42, 0.000, 0.045
2, 43, 0.000, 0.050
2, 44, 0.000, 0.036
2, 45, 0.000, 0.056
2, 46, 0.000, 0.043
2, 47, 0.000, 0.043
2, 48, 0.000, 0.058
2, 49, 0.000, 0.075
2, 50, 0.000, 0.046
2, 51, 0.000, 0.042
2, 52, 0.000, 0.058
2, 53, 0.000, 0.059
2, 54, 0.000, 0.075
2, 55, 0.000, 0.075
2, 56, 0.000, 0.076
2, 57, 0.000, 0.058
2, 58, 0.000, 0.039
2, 59, 0.000, 0.054
2, 60, 0.000, 0.075
2, 61, 0.000, 0.050
2, 62, 0.000, 0.087
2, 63, 0.000, 0.087
2, 64, 0.000, 0.087
2, 65, 0.000, 0.087
2, 66, 0.000, 0.087
2, 67, 0.000, 0.087
2, 68, 0.000, 0.087
2, 69, 0.000, 0.087
2, 70, 0.000, 0.087
2, 71, 0.000, 0.055
2, 72, 0.000, 0.087
2, 73, 0.000, 0.087
2, 74, 0.000, 0.087
2, 75, 0.000, 0.087
2, 76, 0.000, 8.737
2, 77, 0.000, 0.087
2, 78, 0.000, 0.087
2, 79, 0.000, 0.087
2, 80, 0.000, 0.087
2, 81, 0.000, 0.075
2, 82, 0.000, 0.087
2, 83, 0.000, 0.087
2, 84, 0.000, 0.087
2, 85, 0.000, 0.075
2, 86, 0.000, 0.087
2, 87, 0.000, 0.087
2, 88, 0.000, 0.087
2, 89, 0.000, 0.087
2, 90, 0.000, 0.087
2, 91, 0.000, 0.076
2, 92, 0.000, 0.087
2, 93, 0.000, 0.086
2, 94, 0.000, 0.087
2, 95, 0.000, 0.087
2, 96, 0.000, 0.087
2, 97, 0.000, 0.087
2, 98, 0.000, 0.087
2, 99, 0.000, 0.087
2, 100, 0.000, 0.087
3, 0, 0.000, 0.002
3, 1, 90.701, 0.037
3, 2, 90.701, 0.036
3, 3, 48.024, 30.575
3, 4, 48.024, 0.046
3, 5, 48.024, 0.036
3, 6, 48.024, 0.036
3, 7, 48.024, 0.036
3, 8, 48.024, 15.251
3, 9, 34.687, 0.036
3, 10, 22.035, 97.910
3, 11, 22.035, 0.046
3, 12, 22.035, 0.036
3, 13, 22.035, 0.036
3, 14, 16.941, 141.540
3, 15, 16.941, 0.035
3, 16, 16.941, 0.036
3, 17, 16.941, 0.036
3, 18, 16.941, 0.036
3, 19, 0.654, 184.915
3, 20, 0.654, 0.035
3, 21, 0.654, 0.035
3, 22, 0.654, 0.036
3, 23, 0.000, 286.047
3, 24, 0.654, 0.036
3, 25, 0.000, 0.036
3, 26, 0.000, 0.036
3, 27, 0.000, 0.036
3, 28, 0.000, 0.036
3, 29, 0.000, 0.036
3, 30, 0.654, 68.802
3, 31, 0.000, 0.036
3, 32, 0.000, 0.036
3, 33, 0.000, 0.036
